player_id,player_name,player_positions,jersey,position_number
201949,James Johnson,F,3,3
2449,Luis Scola,F,4,3
201960,DeMarre Carroll,F,5,3
202709,Cory Joseph,G,6,1
200768,Kyle Lowry,G,7,1
202687,Bismack Biyombo,C-F,8,4
201942,DeMar DeRozan,G,10,1
202685,Jonas Valanciunas,C,17,5
203998,Bruno Caboclo,F,20,3
203082,Terrence Ross,F-G,31,2
202335,Patrick Patterson,F,54,3
1626153,Delon Wright,G,55,1
203512,Lucas Nogueira,C,92,5
101107,Marvin Williams,F,2,3
203087,Jeremy Lamb,G,3,1
201587,Nicolas Batum,G-F,5,2
202391,Jeremy Lin,G,7,1
1626151,Aaron Harrison,G,9,1
202689,Kemba Walker,G,15,1
203798,PJ Hairston,F-G,19,2
203148,Brian Roberts,G,22,1
203584,Troy Daniels,G,30,1
203469,Cody Zeller,C-F,40,4
1626163,Frank Kaminsky,C,44,5
201946,Tyler Hansbrough,F,50,3
201150,Spencer Hawes,F-C,0,4
2547,Chris Bosh,F,1,3
2548,Dwyane Wade,G,3,1
2405,Amar'e Stoudemire,F-C,5,4
201609,Goran Dragic,G,7,1
204020,Tyler Johnson,G,8,1
2736,Luol Deng,F,9,3
2365,Chris Andersen,F-C,11,4
101123,Gerald Green,F,14,3
2757,Beno Udrih,G,19,1
1626159,Justise Winslow,F,20,3
202355,Hassan Whiteside,C,21,5
2617,Udonis Haslem,F,40,3
101109,Raymond Felton,G,2,1
101111,Charlie Villanueva,F,3,3
200826,J.J. Barea,G,5,1
203939,Dwight Powell,F-C,7,4
101114,Deron Williams,G,8,1
201580,JaVale McGee,C,11,5
203098,John Jenkins,G,12,1
202379,Jeremy Evans,F,21,3
202083,Wesley Matthews,G-F,23,2
202718,Chandler Parsons,F,25,3
2585,Zaza Pachulia,C,27,5
2734,Devin Harris,G,34,1
1717,Dirk Nowitzki,F,41,3
201166,Aaron Brooks,G,0,1
203926,Doug McDermott,F,3,3
1626171,Bobby Portis,F,5,3
2550,Kirk Hinrich,G,12,1
2200,Pau Gasol,C-F,16,4
203503,Tony Snell,F,20,3
202710,Jimmy Butler,G-F,21,2
201959,Taj Gibson,F,22,3
203946,Cameron Bairstow,F-C,41,4
202703,Nikola Mirotic,F,44,3
202734,E'Twaun Moore,G,55,1
201565,Derrick Rose,G,1,1
201149,Joakim Noah,C,13,5
202338,Kevin Seraphin,F-C,1,4
204038,Langston Galloway,G,2,1
101181,Jose Calderon,G,3,1
201167,Arron Afflalo,G,4,1
204001,Kristaps Porzingis,F-C,6,4
2546,Carmelo Anthony,F,7,3
201577,Robin Lopez,C,8,5
203124,Kyle O'Quinn,F-C,9,4
1626170,Jerian Grant,G,13,1
2756,Sasha Vujacic,G,18,1
202682,Derrick Williams,F,23,3
202498,Lance Thomas,F,42,3
2400,Drew Gooden,F,90,3
2743,Kris Humphries,F,43,3
101162,Marcin Gortat,C,13,5
201162,Jared Dudley,F,1,3
201196,Ramon Sessions,G,7,1
201971,DeJuan Blair,C-F,45,4
202066,Garrett Temple,G,17,1
202322,John Wall,G,2,1
202390,Gary Neal,G,14,1
203490,Otto Porter Jr.,F,22,3
204067,Jarell Eddie,G-F,8,2
1626162,Kelly Oubre Jr.,F,12,3
101112,Channing Frye,F,8,3
201160,Jason Smith,F-C,14,4
202696,Nikola Vucevic,C,9,5
202699,Tobias Harris,F,12,3
203094,Andrew Nicholson,F,44,3
203095,Evan Fournier,F,10,3
203473,Dewayne Dedmon,C,3,5
203506,Victor Oladipo,G,5,1
203894,Shabazz Napier,G,13,1
203901,Elfrid Payton,G,4,1
203932,Aaron Gordon,F,0,3
1626209,Mario Hezonja,G-F,23,2
1897,Metta World Peace,F,37,3
101138,Brandon Bass,F,2,3
101150,Lou Williams,G,23,1
201156,Nick Young,F-G,0,2
201579,Roy Hibbert,C,17,5
203135,Robert Sacre,C,50,5
203527,Ryan Kelly,F,4,3
203903,Jordan Clarkson,G,6,1
203944,Julius Randle,F,30,3
1626148,Anthony Brown,F,3,3
1626156,D'Angelo Russell,G,1,1
1626204,Larry Nance Jr.,F,7,3
1626273,Marcelo Huertas,G,9,1
201171,Carl Landry,F,7,3
202397,Ish Smith,G,1,1
203088,Kendall Marshall,G,5,1
203138,Hollis Thompson,G-F,31,2
203457,Nerlens Noel,F-C,4,4
203477,Isaiah Canaan,G,0,1
203496,Robert Covington,F,33,3
203917,Nik Stauskas,G,11,1
203924,Jerami Grant,F,39,3
203960,JaKarr Sampson,G-F,9,2
204456,T.J. McConnell,G,12,1
1626143,Jahlil Okafor,C,8,5
1626158,Richaun Holmes,F,22,3
202340,Avery Bradley,G,0,1
202738,Isaiah Thomas,G,4,1
203096,Jared Sullinger,C-F,7,4
201973,Jonas Jerebko,F,8,3
202323,Evan Turner,G-F,11,2
203923,James Young,G-F,13,2
203935,Marcus Smart,G,36,1
203482,Kelly Olynyk,C-F,41,4
101135,David Lee,F-C,42,4
203092,Tyler Zeller,C-F,44,4
101161,Amir Johnson,F,90,3
203109,Jae Crowder,F,99,3
203499,Shane Larkin,G,0,1
101127,Jarrett Jack,G,2,1
2207,Joe Johnson,F-G,7,2
200745,Andrea Bargnani,C-F,9,4
203508,Sergey Karasev,G-F,10,2
201572,Brook Lopez,C,11,5
202388,Donald Sloan,G,15,1
201961,Wayne Ellington,G,21,1
